title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
CONHEÇA A LINE DA KEYD PARA A LTA SUL;2025-01-18 21:07:11+00:00;7752;https://www.youtube.com/watch?v=cvjbHL6O-hE;24/01/2025;1º SPLIT - Pré;anuncio;18:22;1º SPLIT;Pré
um fã mandou uma mensagem pro Trymbi graças à Havit que fez a boa. o que será que ele respondeu? ??;2025-01-19 20:49:03+00:00;641;https://www.youtube.com/watch?v=DcZTIrONnfw;24/01/2025;1º SPLIT - Pré;shorts;00:56;1º SPLIT;Pré
KEYD É SAVICORE;2025-01-22 19:01:21+00:00;2201;https://www.youtube.com/watch?v=0Wy57Hxbq9c;28/01/2025;1º SPLIT - Split;patrocinado;02:28;1º SPLIT;Split
"""NÓS TROLLAMOS DEMAIS"" | Decode the Call | LTA Sul";2025-01-26 21:06:38+00:00;5719;https://www.youtube.com/watch?v=bkZ8IVdiepU;28/01/2025;1º SPLIT - Split;na_escuta;10:33;1º SPLIT;Split
"""É DIFÍCIL FALAR COM O KISEE..."" | Jogo Rápido da Vivo | Trymbi";2025-01-27 15:54:00+00:00;4600;https://www.youtube.com/watch?v=Er_oyu7pzgc;29/01/2025;1º SPLIT - Split;interativo;05:50;1º SPLIT;Split
que abalo ?? Kisee tomou do nada no Jogo Rápido da @Vivo KKKKKK;2025-01-28 15:09:51+00:00;860;https://www.youtube.com/watch?v=GiNpceKtTmY;29/01/2025;1º SPLIT - Split;interativo;00:22;1º SPLIT;Split
NÓS SUBESTIMAMOS ELES? | Behind the Stars | LTA Sul;2025-01-30 21:02:41+00:00;12984;https://www.youtube.com/watch?v=GXBRLTmaUOY;30/01/2025;1º SPLIT - Split;serie_vlog;00:28:39;1º SPLIT;Split
top 1 esporros do coach seeel #leagueoflegends #ltasul;2025-01-30 16:00:16+00:00;1242;https://www.youtube.com/watch?v=Rxg4lE3Pcsc;31/01/2025;1º SPLIT - Split;shorts;00:54;1º SPLIT;Split
ele pegando o Bardo no final do portal ?? #leagueoflegends #ltasul;2025-01-31 21:00:42+00:00;2107;https://www.youtube.com/watch?v=r9DnCAPU49w;01/02/2025;1º SPLIT - Split;shorts;00:28;1º SPLIT;Split
"""COMO PERDEMOS ISSO?"" | Decode the Call | LTA Sul";2025-01-31 16:05:34+00:00;5022;https://www.youtube.com/watch?v=E9xBiq-0KJI;04/02/2025;1º SPLIT - Split;na_escuta;13:18;1º SPLIT;Split
o início de um sonho… deu tudo errado #leagueoflegends #ltasul;2025-02-01 15:25:17+00:00;1757;https://www.youtube.com/watch?v=hpgTBnvtBTQ;05/02/2025;1º SPLIT - Split;shorts;00:24;1º SPLIT;Split
ELIMINADOS | Behind the Stars | LTA Sul;2025-02-03 21:00:48+00:00;13301;https://www.youtube.com/watch?v=or054Qe2Ou4;07/02/2025;1º SPLIT - Split;serie_vlog;00:40:36;1º SPLIT;Split
teríamos ido mais longe com a line antiga? #leagueoflegends #ltasul;2025-02-03 14:53:25+00:00;1157;https://www.youtube.com/watch?v=x0qB5HLgbEI;11/02/2025;1º SPLIT - Split;shorts;00:41;1º SPLIT;Split
cair de moto doeria menos #leagueoflegends #ltasul;2025-02-04 14:59:30+00:00;2006;https://www.youtube.com/watch?v=-M9P0W3Pj_c;12/02/2025;1º SPLIT - Split;shorts;00:16;1º SPLIT;Split
alguém discorda? #leagueoflegends #ltasul;2025-02-05 21:20:56+00:00;1010;https://www.youtube.com/watch?v=A3iaxmJzs00;13/02/2025;1º SPLIT - Split;shorts;00:36;1º SPLIT;Split
quando o SeeEL disse que essa seria a reunião mais difícil - e foi ?? #leagueoflegends #ltasul;2025-02-05 15:16:32+00:00;3003;https://www.youtube.com/watch?v=VpCl9u2O5is;14/02/2025;1º SPLIT - Split;shorts;00:35;1º SPLIT;Split
COMO OS BRASILEIROS SOAM PARA OS GRINGOS?;2025-02-06 15:46:06+00:00;5131;https://www.youtube.com/watch?v=VNSJSEpgO_c;14/02/2025;1º SPLIT - Split;interativo;05:54;1º SPLIT;Split
essa interação tá IMPOSSÍVEL ??????;2025-02-06 15:00:24+00:00;16524;https://www.youtube.com/watch?v=N4BGYPR9M5E;15/02/2025;1º SPLIT - Split;shorts;00:38;1º SPLIT;Split
como pode esse telefone sem fio com os gringos ser o melhor vídeo da história;2025-02-07 21:00:43+00:00;972;https://www.youtube.com/watch?v=l8X1kt2J3Mo;17/02/2025;1º SPLIT - Split;shorts;00:27;1º SPLIT;Split
a mel é mesmo a campeã mais roubada do league of legends?;2025-02-08 15:32:03+00:00;1481;https://www.youtube.com/watch?v=uA2HDV7aOfM;19/02/2025;1º SPLIT - Split;shorts;01:01;1º SPLIT;Split
BALANÇO DA LTA E PAPO COM A COACHING STAFF | VIVO APRESENTA;2025-02-10 21:10:18+00:00;4968;https://www.youtube.com/watch?v=Kvj4YNaOjNw;21/02/2025;1º SPLIT - Split;patrocinado;10:54;1º SPLIT;Split
Ganhar um split ainda esse ano;2025-02-10 15:31:39+00:00;794;https://www.youtube.com/watch?v=5MWmt1E6AII;21/02/2025;1º SPLIT - Split;shorts;00:32;1º SPLIT;Split
ESTRELABET É VIVO KEYD STARS;2025-02-11 15:00:56+00:00;669;https://www.youtube.com/watch?v=nSbgePtGR4k;25/02/2025;1º SPLIT - Pós;patrocinado;02:38;1º SPLIT;Pós
a mel medarda é counterada FÁCIL por esses aqui ?? #leagueoflegends #melmedarda #arcane #lolbr;2025-02-12 15:06:46+00:00;1299;https://www.youtube.com/watch?v=SqMBsFaXwV4;27/02/2025;1º SPLIT - Pós;shorts;01:01;1º SPLIT; Pós
QUEM SABE MAIS DE LOL? | SEEEL DO MILHÃO;2025-02-13 15:01:09+00:00;5688;https://www.youtube.com/watch?v=muBPWCwBh4A;28/02/2025;1º SPLIT - Pós;interativo;08:33;1º SPLIT; Pós
Qual habilidade dá mais dano?;2025-02-14 21:00:08+00:00;540;https://www.youtube.com/watch?v=Tow8VOYnw_4;28/02/2025;1º SPLIT - Pós;shorts;01:01;1º SPLIT; Pós
segue a programação #carnaval #leagueoflegends #leagueoflegendsbrasil #leagueoegendsmemes;2025-02-18 15:15:15+00:00;656;https://www.youtube.com/watch?v=InI3FuKk6BI;03/03/2025;FORA DO PERÍODO;shorts;00:13;FORA DO ;RÍODO
GRINGOS EXPERIMENTAM COMIDAS BRASILEIRAS | VIVO EXPERIÊNCIA;2025-02-20 21:00:51+00:00;13729;https://www.youtube.com/watch?v=R4fgSzwFacA;14/03/2025;FORA DO PERÍODO;interativo;09:42;FORA DO ;RÍODO
será que tapioca é tão ruim assim? kkkkkk;2025-02-20 19:15:28+00:00;2250;https://www.youtube.com/watch?v=D3EiqoW_dGw;14/03/2025;FORA DO PERÍODO;shorts;00:58;FORA DO ;RÍODO
VKS ACADEMY NO CIRCUITO DESAFIANTE 2025;2025-02-22 21:00:40+00:00;684;https://www.youtube.com/watch?v=GhVOEWT2V00;17/03/2025;FORA DO PERÍODO;anuncio;01:12;FORA DO ;RÍODO
a missão secreta entre smolder e aurelion sol ?? #leagueoflegends #smolder #aurelionsol #lolbr;2025-02-24 21:13:02+00:00;4862;https://www.youtube.com/watch?v=IxBpfZxuHlA;22/03/2025;FORA DO PERÍODO;shorts;00:46;FORA DO ;RÍODO
o novo modo arena só dura mais um mês! já jogou depois das mudanças? #leagueoflegends #modoarena;2025-02-26 22:38:16+00:00;1616;https://www.youtube.com/watch?v=1fZJmZcpFu8;27/03/2025;FORA DO PERÍODO;shorts;00:56;FORA DO ;RÍODO
QUEM SABE MAIS MEMES DO CENÁRIO DE LOL?;2025-02-27 21:03:34+00:00;1543;https://www.youtube.com/watch?v=REEu5F7NyaI;28/03/2025;FORA DO PERÍODO;interativo;10:32;FORA DO ;RÍODO
perdi tudo na imitação do morttheus kkkkkk #leagueoflegends #memeslol;2025-02-28 18:14:24+00:00;4987;https://www.youtube.com/watch?v=d9j0oyz7WC0;28/03/2025;FORA DO PERÍODO;shorts;00:28;FORA DO ;RÍODO
ADIVINHE O CAMPEÃO DO LOL!;2025-03-07 21:09:36+00:00;1565;https://www.youtube.com/watch?v=82PfS-mnuWU;31/03/2025;2º SPLIT - Pré;interativo;13:30;2º SPLIT; Pré
Quem adivinha o campeão do LoL mais rápido?;2025-03-07 18:01:11+00:00;2951;https://www.youtube.com/watch?v=pkI_xBZhV5U;31/03/2025;2º SPLIT - Pré;shorts;00:30;2º SPLIT;Pré
eu faço a cara, você faz o som ??;2025-03-09 19:21:54+00:00;337;https://www.youtube.com/watch?v=4jiFiZQlzvE;03/04/2025;2º SPLIT - Pré;shorts;01:29;2º SPLIT; Pré
"""VOCÊS SÃO RUINS!"" | Decode the Call | LTA Sul";2025-03-10 14:58:45+00:00;2680;https://www.youtube.com/watch?v=38MUL0oJIMc;08/04/2025;2º SPLIT - Split;na_escuta;07:05;2º SPLIT;Split
o trymbi aprendeu português direitinho ??;2025-03-11 15:06:40+00:00;9018;https://www.youtube.com/watch?v=260c0ktDyJM;08/04/2025;2º SPLIT - Split;shorts;00:22;2º SPLIT;Split
2-0 NA ESTREIA! | Behind the Stars | LTA Sul;2025-03-12 21:11:26+00:00;5571;https://www.youtube.com/watch?v=_NdOoVEXd2E;10/04/2025;2º SPLIT - Split;serie_vlog;23:24;2º SPLIT;Split
europeus unidos jamais serão vencidos #leagueoflegends;2025-03-12 14:56:00+00:00;1790;https://www.youtube.com/watch?v=BYiKiKDyx-g;10/04/2025;2º SPLIT - Split;shorts;00:56;2º SPLIT;Split
melhor jungler e nerd de lol, o disas já avisou o boal - a @SavicoreInc tem conhecimento no precin;2025-03-14 15:02:02+00:00;3721;https://www.youtube.com/watch?v=vWMLsQEMwKg;15/04/2025;2º SPLIT - Split;shorts;01:11;2º SPLIT;Split
"""VOCÊ PEGOU O AQUAMAN, CARA..."" | Decode the Call | LTA Sul";2025-03-18 23:17:44+00:00;2871;https://www.youtube.com/watch?v=vlxodcXaBb8;16/04/2025;2º SPLIT - Split;na_escuta;09:01;2º SPLIT;Split
quem nunca quis dar base com o jogo ganho só pra brincar mais ?? #leagueoflegends;2025-03-18 15:08:51+00:00;3732;https://www.youtube.com/watch?v=QS2QkET1gGU;16/04/2025;2º SPLIT - Split;shorts;00:22;2º SPLIT;Split
a única resposta certa é a última ?? e ele não tava ouvindo nada (isolamento prime da havit);2025-03-18 13:13:09+00:00;3541;https://www.youtube.com/watch?v=vsR7daY2T_w;17/04/2025;2º SPLIT - Split;shorts;00:31;2º SPLIT;Split
o momento que eu mais espero em todo Behind the Stars: o review #leagueoflegends;2025-03-20 23:01:10+00:00;1838;https://www.youtube.com/watch?v=3DomIHzYsfE;17/04/2025;2º SPLIT - Split;serie_vlog;01:00;2º SPLIT;Split
"""MUITO DEVAGAR"" | Decode the Call | LTA Sul";2025-03-20 15:00:26+00:00;2479;https://www.youtube.com/watch?v=i61j-1r5bVs;23/04/2025;2º SPLIT - Split;na_escuta;10:42;2º SPLIT;Split
0-3 na Super Semana | Behind the Stars | LTA Sul;2025-03-21 20:53:35+00:00;7364;https://www.youtube.com/watch?v=Xg6K4F5BAa0;24/04/2025;2º SPLIT - Split;serie_vlog;00:34:51;2º SPLIT;Split
disamis deu um soco na parede no treino;2025-03-21 15:01:42+00:00;6037;https://www.youtube.com/watch?v=9y5y-w1PeDU;25/04/2025;2º SPLIT - Split;shorts;00:50;2º SPLIT;Split
papo de maluco by isolamento Havit;2025-03-22 21:42:16+00:00;2594;https://www.youtube.com/watch?v=kg_hJTQtaPw;28/04/2025;2º SPLIT - Split;shorts;00:47;2º SPLIT;Split
"""NÃO SEJAM COVARDES!"" | Decode the Call | LTA Sul";2025-03-24 19:21:39+00:00;1921;https://www.youtube.com/watch?v=PzGYgIqTjVY;30/04/2025;2º SPLIT - Split;na_escuta;08:11;2º SPLIT;Split
RESOLVENDO PROBLEMAS | Behind the Stars | LTA Sul;2025-03-25 14:35:38+00:00;5103;https://www.youtube.com/watch?v=Sy75lbYFDjA;01/05/2025;2º SPLIT - Split;serie_vlog;00:26:05;2º SPLIT;Split
por isso o SeeEl escolheu o Morttheus;2025-03-26 21:00:30+00:00;4050;https://www.youtube.com/watch?v=9YT-tw70eiw;01/05/2025;2º SPLIT - Split;shorts;00:41;2º SPLIT;Split
Decisões Ruins | Decode the Call | LTA Sul;2025-03-28 14:58:35+00:00;2707;https://www.youtube.com/watch?v=G8RlcG38OIk;07/05/2025;2º SPLIT - Split;na_escuta;11:40;2º SPLIT;Split
SEM MAIS DESCULPAS | Behind the Stars | LTA Sul;2025-04-01 15:18:01+00:00;8241;https://www.youtube.com/watch?v=6KnRWzTeChs;08/05/2025;2º SPLIT - Split;serie_vlog;00:31:23;2º SPLIT;Split
o clima do Behind the Stars com derrota...;2025-04-04 20:59:00+00:00;826;https://www.youtube.com/watch?v=GDVmWSSfJug;09/05/2025;2º SPLIT - Split;serie_vlog;00:54;2º SPLIT;Split
SAROLU JOGADAS | Jogo Rápido da Vivo;2025-04-08 16:15:02+00:00;903;https://www.youtube.com/watch?v=mIC4BnR3Mxk;12/05/2025;2º SPLIT - Split;interativo;06:56;2º SPLIT;Split
100 humanos ou 1 gorila?;2025-04-09 16:08:23+00:00;5475;https://www.youtube.com/watch?v=1sFyZs6iHAQ;12/05/2025;2º SPLIT - Split;shorts;00:44;2º SPLIT;Split
"""VAMOS GRITAR!""  | Decode the Call | LTA Sul";2025-04-10 21:25:30+00:00;2682;https://www.youtube.com/watch?v=ZgkhNuiSKeo;13/05/2025;2º SPLIT - Split;na_escuta;08:13;2º SPLIT;Split
gritar é cringe?;2025-04-10 15:05:17+00:00;2644;https://www.youtube.com/watch?v=rh2NzRKrb9U;14/05/2025;2º SPLIT - Split;shorts;00:30;2º SPLIT;Split
CLASSIFICADOS | Behind the Stars | LTA Sul;2025-04-11 21:00:34+00:00;4395;https://www.youtube.com/watch?v=-5Vn67wUzRA;15/05/2025;2º SPLIT - Split;serie_vlog;17:49;2º SPLIT;Split
o SeeEL não concordou muito...;2025-04-11 14:41:55+00:00;1288;https://www.youtube.com/watch?v=nm2jdR81m54;16/05/2025;2º SPLIT - Split;shorts;00:24;2º SPLIT;Split
qual é o melhor anime?;2025-04-15 14:59:57+00:00;4541;https://www.youtube.com/watch?v=SYHE4GW4GQ4;16/05/2025;2º SPLIT - Split;shorts;00:57;2º SPLIT;Split
o ProDelta no Behind the Stars KKKK;2025-04-17 22:07:58+00:00;1612;https://www.youtube.com/watch?v=16GOceSyLaY;17/05/2025;2º SPLIT - Split;serie_vlog;00:14;2º SPLIT;Split
capitão Trymbi callando a fight toda;2025-04-17 15:00:13+00:00;1847;https://www.youtube.com/watch?v=9tLy7u-b15k;17/05/2025;2º SPLIT - Split;shorts;00:48;2º SPLIT;Split
"""só um beijinho, Disamis""";2025-04-18 21:00:06+00:00;807;https://www.youtube.com/watch?v=QtQiLQoGl6U;18/05/2025;2º SPLIT - Split;shorts;00:26;2º SPLIT;Split
coitada da Sejuani;2025-04-20 21:10:23+00:00;2282;https://www.youtube.com/watch?v=SSUaAb5W_C0;18/05/2025;2º SPLIT - Split;shorts;00:36;2º SPLIT;Split
o capacete não entra KKKKKK;2025-04-22 21:00:46+00:00;1414;https://www.youtube.com/watch?v=OrpSzgTyqA0;19/05/2025;2º SPLIT - Pós;shorts;00:16;2º SPLIT;Pós
"""ELE ESTÁ TROLLANDO"" | Decode the Call | LTA Sul";2025-04-22 15:10:15+00:00;2059;https://www.youtube.com/watch?v=kQdkPT_UayU;21/05/2025;2º SPLIT - Pós;na_escuta;09:28;2º SPLIT;Pós
