title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
combo de Varus com TitaNzada XESQUEDELE ??#leagueoflegends #shorts;2025-01-18 21:07:11+00:00;19588;https://www.youtube.com/watch?v=fG0Q7n5W7Rs;18/01/2025;1º SPLIT - Pré;shorts;01:05;1º SPLIT; Pré
o surrender talvez seja uma opção, dyNquedo ?? } #leagueoflegends #shorts;2025-01-19 20:49:03+00:00;6281;https://www.youtube.com/watch?v=O8ArSuazh94;19/01/2025;1º SPLIT - Pré;shorts;00:25;1º SPLIT; Pré
tchau #cblol e só vem LTA Sul # shorts;2025-01-22 19:01:21+00:00;11156;https://www.youtube.com/watch?v=33OvEVjlPA4;22/01/2025;1º SPLIT - Pré;shorts;00:11;1º SPLIT; Pré
quem fez a melhor pose pra foto? ?? #shorts #leagueoflegends;2025-01-26 21:06:38+00:00;53931;https://www.youtube.com/watch?v=Q7oJg0mFdiE;26/01/2025;1º SPLIT - Split;shorts;00:14;1º SPLIT;Split
tem dia que é noite, titanzada #leagueoflegends #shorts #titan #gaming;2025-01-27 15:54:00+00:00;4506;https://www.youtube.com/watch?v=yCDp_LhweCg;27/01/2025;1º SPLIT - Split;shorts;01:10;1º SPLIT;Split
PAIN x LOUD - LTA SUL 1º SPLIT | POR DENTRO DO GAME by JBL QUANTUM ??;2025-01-28 15:09:51+00:00;39292;https://www.youtube.com/watch?v=lUq7Tafzt-A;28/01/2025;1º SPLIT - Split;na_escuta;08:41;1º SPLIT;Split
cuiado para não ficar de férias mais cedo ??;2025-01-30 21:02:41+00:00;5461;https://www.youtube.com/watch?v=3I_hvlmtXHM;30/01/2025;1º SPLIT - Split;shorts;00:21;1º SPLIT;Split
entenda a TRETA de DYNQUEDO e LOUD | PAIN RESPONDE - EP1;2025-01-30 16:00:16+00:00;37760;https://www.youtube.com/watch?v=H6fawX-tBDM;30/01/2025;1º SPLIT - Split;interativo;09:35;1º SPLIT;Split
deixei abrir 1-0 e olha no que deu ?? | LEAGUE VLOG - EP1;2025-01-31 21:00:42+00:00;26473;https://www.youtube.com/watch?v=ooR-CYTZBro;31/01/2025;1º SPLIT - Split;serie_vlog;15:52;1º SPLIT;Split
302 jogos. dropa os parabéns p o ídolo, rei da jg ??#leagueoflegends #paingaming #esports;2025-01-31 16:05:34+00:00;1636;https://www.youtube.com/watch?v=keA4MObyl8Y;31/01/2025;1º SPLIT - Split;shorts;00:25;1º SPLIT;Split
todo mundo tem um duo assim #leagueoflegends #shorts;2025-02-01 15:25:17+00:00;45701;https://www.youtube.com/watch?v=YSXZDP8n8y0;01/02/2025;1º SPLIT - Split;shorts;00:18;1º SPLIT;Split
free adc #leagueoflegends #shorts;2025-02-03 21:00:48+00:00;7778;https://www.youtube.com/watch?v=I12PaE1aK98;03/02/2025;1º SPLIT - Split;shorts;00:07;1º SPLIT;Split
a segunda-feira é osso dms ?? #leagueoflegends #shorts;2025-02-03 14:53:25+00:00;2527;https://www.youtube.com/watch?v=1fDlcaVXCa4;03/02/2025;1º SPLIT - Split;shorts;00:33;1º SPLIT;Split
PAIN x LEVIATAN - LTA SUL 1º SPLIT | POR DENTRO DO GAME by JBL QUANTUM ??;2025-02-04 14:59:30+00:00;17913;https://www.youtube.com/watch?v=dc90Q3tDggM;04/02/2025;1º SPLIT - Split;na_escuta;08:53;1º SPLIT;Split
eu conheço essa cara… #leagueoflegends #shorts;2025-02-05 21:20:56+00:00;5059;https://www.youtube.com/watch?v=J23eKToc6qQ;05/02/2025;1º SPLIT - Split;shorts;00:16;1º SPLIT;Split
encontrou oq, Titanzada? ?? #leagueoflegends #leagueoflegendsbrasil #lol #lolmemes;2025-02-05 15:16:32+00:00;15021;https://www.youtube.com/watch?v=ugBZEYqnZDA;05/02/2025;1º SPLIT - Split;shorts;00:17;1º SPLIT;Split
a gente sabe o drama que a Tristana vive #leagueoflegends #shorts;2025-02-06 15:46:06+00:00;6345;https://www.youtube.com/watch?v=iaF-i_nR4gA;06/02/2025;1º SPLIT - Split;shorts;00:11;1º SPLIT;Split
O PROBLEMA FOI A COMP? | PAIN RESPONDE - EP2;2025-02-06 15:00:24+00:00;33868;https://www.youtube.com/watch?v=JqfuctlSSDY;06/02/2025;1º SPLIT - Split;interativo;10:17;1º SPLIT;Split
foi um apagão. | LEAGUE VLOG - EP2;2025-02-07 21:00:43+00:00;15378;https://www.youtube.com/watch?v=rw1v14fjR5o;07/02/2025;1º SPLIT - Split;serie_vlog;16:28;1º SPLIT;Split
predict de paiN TitaN de Tristana #leagueoflegends #paingaming #titanlol #shorts;2025-02-08 15:32:03+00:00;164082;https://www.youtube.com/watch?v=QkZdIIl6rGE;08/02/2025;1º SPLIT - Split;shorts;00:39;1º SPLIT;Split
vc já sonhou com esse homem? #leagueoflegends #lol #leagueoflegendsmemes #lolmemes #titanlol;2025-02-10 21:10:18+00:00;6903;https://www.youtube.com/watch?v=1qiYDiToDhM;10/02/2025;1º SPLIT - Split;shorts;00:19;1º SPLIT;Split
