title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
É PENTA! É PENTA! RED to CALL by Kalunga (RED x FX) | LTA 1º Split 2024;2025-01-27 20:45:06+00:00;1257;https://www.youtube.com/watch?v=hp-N8nLxki8;27/01/2025;1º SPLIT - Split;na_escuta;06:00;1º SPLIT;Split
O primeiro penta da LTA e a primeira vitória! RED to HUNT #01: RED Canids vs. FX/W7M;2025-01-30 21:00:06+00:00;2330;https://www.youtube.com/watch?v=OCqO1PW0Rrs;30/01/2025;1º SPLIT - Split;serie_vlog;17:28;1º SPLIT;Split
Poderia ter sido diferente. RED to CALL by Kalunga (RED x IE) | LTA 1º Split 2025;2025-02-03 21:41:31+00:00;746;https://www.youtube.com/watch?v=RpRrqZrOQx4;03/02/2025;1º SPLIT - Split;na_escuta;07:49;1º SPLIT;Split
Ainda tem jogo! RED to HUNT #02: RED Canids Kalunga vs. Isurus Estral;2025-02-06 21:17:42+00:00;2099;https://www.youtube.com/watch?v=_B4BNp7Fjgs;06/02/2025;1º SPLIT - Split;serie_vlog;16:55;1º SPLIT;Split
O resultado deveria ser outro | RED to CALL by Kalunga (RED x LOUD) | LTA 1 Split 2025;2025-02-11 17:58:27+00:00;2187;https://www.youtube.com/watch?v=yu4inkLE2Os;11/02/2025;1º SPLIT - Split;na_escuta;12:51;1º SPLIT;Split
O último RED to HUNT | LTA 1º Split 2025;2025-02-13 21:59:12+00:00;3563;https://www.youtube.com/watch?v=UvMEOaOGoYs;13/02/2025;1º SPLIT - Split;serie_vlog;21:19;1º SPLIT;Split
RED Canids Kalunga out of context | VLOG (Fev. 2025);2025-02-27 20:58:58+00:00;26920;https://www.youtube.com/watch?v=5lhXzZau2x8;27/02/2025;1º SPLIT - Pós;vlog;03:54;1º SPLIT;Pós
RED Canids Kalunga out of context #2 | VLOG (Mar. 2025);2025-03-18 15:12:31+00:00;14436;https://www.youtube.com/watch?v=4qVy_58kppo;18/03/2025;FORA DO PERÍODO;vlog;14:18;FORA DO ;RÍODO
Coldzera explica PRO X TKL RAPID da Logitech G;2025-03-20 15:55:28+00:00;12558;https://www.youtube.com/watch?v=AxRc7o719Es;20/03/2025;FORA DO PERÍODO;patrocinado;03:37;FORA DO ;RÍODO
RED Canids Kalunga out of context #3 | VLOG (Abr. 2025);2025-04-03 15:04:46+00:00;2760;https://www.youtube.com/watch?v=hGsuucFF86E;03/04/2025;2º SPLIT - Pré;vlog;13:07;2º SPLIT; Pré
Estamos prontos. | LTA Sul - 2025 - 2º Split;2025-04-04 21:29:57+00:00;1366;https://www.youtube.com/watch?v=rt-Xu5_1MYA;04/04/2025;2º SPLIT - Pré;anuncio;01:39;2º SPLIT;Pré
RED TO CALL | LTA 2025 - S2W1 by Logitech G;2025-04-09 14:58:52+00:00;2403;https://www.youtube.com/watch?v=52JhOlJayGI;09/04/2025;2º SPLIT - Split;na_escuta;09:47;2º SPLIT;Split
RED CANIDS - LTA IN CONTEXT #1 by Kalunga;2025-04-10 20:58:47+00:00;5517;https://www.youtube.com/watch?v=DrcjI4xYMNY;10/04/2025;2º SPLIT - Split;serie_vlog;34:22:00;2º SPLIT;Split
RED TO CALL | LTA 2025 S2W2 by Logitech G;2025-04-14 22:21:32+00:00;2585;https://www.youtube.com/watch?v=HzaLaQ1N_hE;14/04/2025;2º SPLIT - Split;na_escuta;12:17;2º SPLIT;Split
RED CANIDS - LTA IN CONTEXT #2 by Kalunga;2025-04-17 22:12:32+00:00;4877;https://www.youtube.com/watch?v=uf2mZNcaawE;17/04/2025;2º SPLIT - Split;serie_vlog;37:03:00;2º SPLIT;Split
RED TO CALL | LTA 2025 S2W3 by Logitech G;2025-04-22 21:54:21+00:00;1610;https://www.youtube.com/watch?v=SPKMBbW22ew;22/04/2025;2º SPLIT - Split;na_escuta;11:46;2º SPLIT;Split
RED CANIDS - LTA IN CONTEXT #3 by Kalunga;2025-04-24 20:00:00+00:00;4966;https://www.youtube.com/watch?v=kHifdMaeIPc;24/04/2025;2º SPLIT - Split;serie_vlog;44:14:00;2º SPLIT;Split
RED TO CALL | LTA 2025 S2W4 by Logitech G;2025-04-28 20:55:01+00:00;1625;https://www.youtube.com/watch?v=iWoHmZEnqp4;28/04/2025;2º SPLIT - Split;na_escuta;04:59;2º SPLIT;Split
RED CANIDS - LTA IN CONTEXT #4 by Kalunga;2025-05-01 21:31:29+00:00;4490;https://www.youtube.com/watch?v=NI1sP5us2vs;01/05/2025;2º SPLIT - Split;serie_vlog;23:03;2º SPLIT;Split
RED TO CALL | LTA 2025 S2W5 by Logitech G;2025-05-05 21:32:56+00:00;1523;https://www.youtube.com/watch?v=XonUD3jMdVA;05/05/2025;2º SPLIT - Split;na_escuta;05:58;2º SPLIT;Split
RED TO CALL | LTA 2025 S2W6 by Logitech G;2025-05-13 15:21:22+00:00;1993;https://www.youtube.com/watch?v=iKDD0zhkfzo;13/05/2025;2º SPLIT - Split;na_escuta;09:25;2º SPLIT;Split
